id_item,id_pedido,id_produto,quantidade,preco_unitario,desconto_item,valor_item
85,41,14,2,314.48,0.0,628.96
86,42,49,1,470.49,0.0,470.49
87,43,79,2,269.07,0.0,538.14
88,43,277,1,512.33,0.0,512.33
89,44,473,1,242.48,0.0,242.48
90,44,363,2,23.5,0.0,47.0
91,45,466,1,178.96,0.0,178.96
92,45,487,1,326.51,0.0,326.51
93,45,479,1,964.6,0.0,964.6
94,46,352,3,67.19,0.0,201.57
95,47,183,1,482.46,0.0,482.46
96,48,7,2,47.92,0.0,95.84
97,48,317,1,615.4,0.0,615.4
98,49,280,1,544.54,0.0,544.54
99,50,462,4,110.35,0.0,441.4
100,51,87,1,615.05,0.0,615.05
101,52,262,1,589.98,0.0,589.98
102,53,470,1,22.47,0.0,22.47
103,54,123,1,91.11,9.11,82.0
104,54,416,1,561.22,28.06,533.16
105,54,133,1,667.4,0.0,667.4
106,55,162,2,217.78,0.0,435.56
107,56,238,1,251.63,0.0,251.63
108,56,207,1,189.17,9.46,179.71
109,57,446,1,911.16,0.0,911.16
110,58,470,3,22.47,0.0,67.41
111,58,451,1,64.39,0.0,64.39
112,58,80,1,1519.77,0.0,1519.77
113,59,476,1,180.12,27.02,153.1
114,59,159,2,686.54,0.0,1373.08
115,59,3,1,366.35,0.0,366.35
116,59,104,1,538.44,0.0,538.44
117,60,231,1,1464.57,0.0,1464.57
118,60,209,1,162.15,0.0,162.15
119,61,419,1,243.79,24.38,219.41
120,61,259,1,559.91,55.99,503.92
121,61,105,1,252.24,0.0,252.24
122,61,92,2,418.4,0.0,836.8
123,62,8,2,47.63,0.0,95.26
124,62,29,2,324.62,0.0,649.24
125,62,488,1,858.44,0.0,858.44
126,63,355,1,233.24,23.32,209.92
127,63,405,1,307.63,0.0,307.63
128,64,155,3,207.08,0.0,621.24
129,64,315,4,37.13,7.43,141.09
130,64,372,1,425.11,0.0,425.11
131,65,444,1,674.49,0.0,674.49
132,66,34,1,298.44,29.84,268.6
133,67,402,1,232.64,0.0,232.64
134,68,64,1,686.09,68.61,617.48
135,68,90,1,1210.79,121.08,1089.71
136,68,209,1,162.15,0.0,162.15
137,69,323,1,386.9,19.34,367.56
138,69,138,1,439.01,65.85,373.16
139,70,313,1,548.86,0.0,548.86
140,70,297,1,505.22,0.0,505.22
141,71,222,1,410.97,20.55,390.42
142,72,109,1,228.13,0.0,228.13
143,72,274,2,1118.41,0.0,2236.82
144,72,307,1,107.42,0.0,107.42
145,73,189,1,319.55,31.96,287.59
146,73,37,1,55.66,0.0,55.66
147,74,358,1,447.15,0.0,447.15
148,75,491,1,510.48,25.52,484.96
149,75,63,1,402.03,0.0,402.03
150,76,440,1,81.49,0.0,81.49
151,76,378,1,227.81,0.0,227.81
152,77,15,1,522.57,26.13,496.44
153,77,441,3,416.67,0.0,1250.01
154,78,68,1,381.19,0.0,381.19
155,79,335,1,43.83,0.0,43.83
156,79,412,1,206.18,0.0,206.18
157,79,260,2,168.38,0.0,336.76
158,79,309,1,596.2,0.0,596.2
159,80,225,1,506.32,0.0,506.32
160,81,385,3,213.51,0.0,640.53
161,82,158,3,655.65,0.0,1966.95
162,82,242,1,278.87,27.89,250.98
163,82,416,1,561.22,0.0,561.22
164,83,45,1,711.16,106.67,604.49
165,84,303,2,73.91,0.0,147.82
166,85,193,1,25.71,0.0,25.71
167,85,280,3,544.54,0.0,1633.62
168,86,352,1,67.19,0.0,67.19
169,86,28,1,84.91,0.0,84.91
170,86,218,2,177.67,0.0,355.34
171,86,382,1,19.1,0.0,19.1
172,86,385,1,213.51,0.0,213.51
173,87,386,3,60.59,9.09,172.68
174,87,425,2,658.16,0.0,1316.32
175,88,352,3,67.19,10.08,191.49
176,88,99,1,1704.38,85.22,1619.16
177,88,394,1,395.25,39.53,355.72
178,89,426,1,1142.36,0.0,1142.36
179,90,230,1,718.65,0.0,718.65
180,90,221,1,112.29,0.0,112.29
181,90,497,1,1754.85,0.0,1754.85
182,90,287,1,274.76,0.0,274.76
183,91,151,3,528.49,0.0,1585.47
184,92,125,1,100.74,0.0,100.74
185,93,78,1,1233.01,0.0,1233.01
186,93,108,1,382.1,0.0,382.1
187,94,31,1,410.35,0.0,410.35
188,95,410,1,306.16,0.0,306.16
189,95,336,1,128.31,0.0,128.31
190,96,354,1,1184.44,0.0,1184.44
191,96,125,1,100.74,0.0,100.74
192,96,33,3,878.41,131.76,2503.47
193,97,370,1,31.67,1.58,30.09
194,97,97,1,168.9,8.45,160.45
195,98,20,2,306.9,0.0,613.8
196,98,146,2,403.2,0.0,806.4
197,99,222,1,410.97,0.0,410.97
198,100,87,1,615.05,61.5,553.55
199,101,53,3,53.69,0.0,161.07
200,102,362,1,33.21,0.0,33.21
201,102,82,2,263.41,0.0,526.82
202,102,52,1,126.48,6.32,120.16
203,103,214,1,431.53,0.0,431.53
204,103,493,1,1098.62,0.0,1098.62
205,103,489,1,271.04,0.0,271.04
206,103,288,1,456.92,0.0,456.92
207,104,292,2,251.54,0.0,503.08
208,105,46,2,265.5,0.0,531.0
209,105,273,1,1772.46,0.0,1772.46
210,106,131,1,52.19,0.0,52.19
211,106,176,1,405.76,20.29,385.47
212,106,52,1,126.48,6.32,120.16
213,106,390,1,353.78,35.38,318.4
214,107,448,1,269.1,0.0,269.1
215,107,441,1,416.67,0.0,416.67
216,107,347,1,915.83,0.0,915.83
217,108,78,1,1233.01,123.3,1109.71
218,108,92,3,418.4,125.52,1129.68
219,109,81,1,332.29,0.0,332.29
220,110,52,1,126.48,0.0,126.48
221,110,286,3,44.99,0.0,134.97
222,111,446,2,911.16,0.0,1822.32
223,112,385,1,213.51,10.68,202.83
224,113,499,1,374.96,0.0,374.96
225,113,194,2,128.74,25.75,231.73
226,113,254,2,480.24,0.0,960.48
227,114,243,3,230.28,0.0,690.84
228,115,463,1,699.16,34.96,664.2
229,115,88,1,428.09,0.0,428.09
230,115,167,2,891.1,0.0,1782.2
231,116,221,3,112.29,16.84,320.03
232,116,170,1,1955.6,0.0,1955.6
233,116,93,1,598.67,0.0,598.67
234,116,406,1,528.99,0.0,528.99
235,117,324,1,138.85,0.0,138.85
236,117,475,2,542.0,0.0,1084.0
237,118,266,1,43.33,2.17,41.16
238,118,464,1,382.94,0.0,382.94
239,118,409,1,306.05,0.0,306.05
240,118,421,2,913.65,91.37,1735.93
241,119,250,1,422.96,42.3,380.66
242,119,343,1,389.98,0.0,389.98
243,119,11,2,218.83,0.0,437.66
244,120,16,1,228.05,0.0,228.05
245,121,402,1,232.64,0.0,232.64
246,121,279,1,529.9,0.0,529.9
247,121,124,1,302.1,30.21,271.89
248,121,268,1,735.4,0.0,735.4
249,122,176,1,405.76,0.0,405.76
250,123,4,1,577.84,28.89,548.95
251,123,232,3,130.32,0.0,390.96
252,124,408,1,1300.32,0.0,1300.32
253,124,253,1,555.76,0.0,555.76
254,124,438,1,28.2,0.0,28.2
255,124,188,2,165.39,0.0,330.78
256,124,20,1,306.9,0.0,306.9
257,125,411,1,777.6,0.0,777.6
258,126,282,1,529.29,0.0,529.29
259,126,23,1,218.25,0.0,218.25
260,127,80,2,1519.77,0.0,3039.54
261,127,145,1,771.94,38.6,733.34
262,128,244,1,102.52,10.25,92.27
263,128,196,1,340.81,0.0,340.81
264,129,238,1,251.63,0.0,251.63
265,129,401,2,402.27,0.0,804.54
266,130,369,1,133.54,6.68,126.86
267,130,151,2,528.49,0.0,1056.98
268,131,165,1,440.32,0.0,440.32
269,131,273,1,1772.46,0.0,1772.46
270,132,195,2,152.06,0.0,304.12
271,132,1,1,282.39,0.0,282.39
272,132,353,1,202.79,0.0,202.79
273,133,366,2,289.01,0.0,578.02
274,134,349,2,957.08,0.0,1914.16
275,135,310,1,649.12,32.46,616.66
276,135,278,1,397.33,0.0,397.33
277,136,226,4,97.15,0.0,388.6
278,137,434,1,79.88,0.0,79.88
279,138,321,1,246.85,12.34,234.51
280,138,305,1,481.22,24.06,457.16
281,138,382,1,19.1,1.91,17.19
282,138,466,3,178.96,0.0,536.88
283,139,272,2,967.91,0.0,1935.82
284,139,63,1,402.03,0.0,402.03
285,139,174,1,367.09,0.0,367.09
286,140,117,2,505.13,0.0,1010.26
287,140,352,1,67.19,0.0,67.19
288,141,363,1,23.5,0.0,23.5
289,141,481,1,836.29,0.0,836.29
290,141,322,2,640.61,0.0,1281.22
291,142,454,1,1308.77,0.0,1308.77
292,142,22,3,172.31,0.0,516.93
293,143,198,1,744.0,0.0,744.0
294,143,183,1,482.46,0.0,482.46
295,144,12,1,436.43,0.0,436.43
296,144,254,1,480.24,0.0,480.24
297,144,336,2,128.31,12.83,243.79
298,145,346,1,53.28,0.0,53.28
299,146,484,1,69.16,0.0,69.16
300,146,412,2,206.18,0.0,412.36
301,146,365,1,491.73,0.0,491.73
302,147,322,2,640.61,64.06,1217.16
303,147,424,1,621.42,31.07,590.35
304,148,175,1,377.52,18.88,358.64
305,148,183,3,482.46,0.0,1447.38
306,149,169,1,28.08,0.0,28.08
307,149,458,1,285.7,14.29,271.41
308,150,133,1,667.4,0.0,667.4
309,150,499,3,374.96,0.0,1124.88
310,150,346,1,53.28,0.0,53.28
311,151,48,2,577.21,0.0,1154.42
312,151,234,1,56.17,0.0,56.17
313,152,448,1,269.1,0.0,269.1
314,152,403,1,53.13,0.0,53.13
315,152,319,1,335.01,0.0,335.01
316,152,81,1,332.29,0.0,332.29
317,153,463,2,699.16,0.0,1398.32
318,153,10,2,437.16,0.0,874.32
319,153,36,1,477.42,0.0,477.42
320,154,404,2,679.99,136.0,1223.98
321,154,324,2,138.85,0.0,277.7
322,154,272,1,967.91,0.0,967.91
323,154,414,1,379.72,0.0,379.72
324,155,428,2,459.27,0.0,918.54
325,155,386,3,60.59,0.0,181.77
326,156,358,3,447.15,67.07,1274.38
327,156,381,1,25.06,0.0,25.06
328,157,483,2,207.38,0.0,414.76
329,158,283,1,51.19,0.0,51.19
330,158,217,1,49.19,0.0,49.19
331,159,281,1,203.5,0.0,203.5
332,159,177,3,348.62,104.59,941.27
333,160,35,1,121.58,0.0,121.58
334,161,127,1,1365.53,68.28,1297.25
335,161,488,1,858.44,85.84,772.6
336,161,493,1,1098.62,0.0,1098.62
337,161,70,1,264.41,26.44,237.97
338,161,352,2,67.19,0.0,134.38
339,162,151,1,528.49,0.0,528.49
340,162,68,1,381.19,0.0,381.19
341,162,200,3,34.05,0.0,102.15
342,163,149,1,406.41,20.32,386.09
343,163,431,2,1014.36,0.0,2028.72
344,163,401,1,402.27,0.0,402.27
345,163,179,1,921.74,0.0,921.74
346,163,462,1,110.35,5.52,104.83
347,164,431,3,1014.36,0.0,3043.08
348,165,411,2,777.6,0.0,1555.2
349,166,363,1,23.5,0.0,23.5
350,166,145,1,771.94,38.6,733.34
351,167,359,2,1087.37,0.0,2174.74
352,167,490,1,183.23,0.0,183.23
353,168,102,1,82.07,0.0,82.07
354,169,467,1,340.69,34.07,306.62
355,169,401,1,402.27,20.11,382.16
356,169,175,2,377.52,0.0,755.04
357,169,499,1,374.96,0.0,374.96
358,170,165,1,440.32,0.0,440.32
359,170,433,1,420.63,0.0,420.63
360,171,333,2,1760.85,0.0,3521.7
361,171,257,1,634.07,0.0,634.07
362,172,125,1,100.74,0.0,100.74
363,172,351,1,363.01,36.3,326.71
364,173,112,3,580.03,0.0,1740.09
365,173,465,2,104.67,0.0,209.34
366,173,146,2,403.2,0.0,806.4
367,173,316,3,1719.47,0.0,5158.41
368,174,312,3,635.93,0.0,1907.79
369,174,306,1,99.19,4.96,94.23
370,174,225,1,506.32,25.32,481.0
371,175,24,1,184.36,0.0,184.36
372,176,397,4,445.78,0.0,1783.12
373,176,468,1,236.03,0.0,236.03
374,177,246,1,202.22,0.0,202.22
375,177,139,2,492.18,0.0,984.36
376,178,405,3,307.63,0.0,922.89
377,178,121,2,75.34,7.53,143.15
378,179,113,2,199.75,0.0,399.5
379,179,119,1,910.77,45.54,865.23
380,179,153,1,475.69,47.57,428.12
381,180,245,2,1422.66,0.0,2845.32
382,180,176,3,405.76,60.86,1156.42
383,180,217,3,49.19,0.0,147.57
384,181,231,1,1464.57,146.46,1318.11
385,181,410,1,306.16,0.0,306.16
386,181,434,2,79.88,0.0,159.76
387,181,68,1,381.19,38.12,343.07
388,182,165,1,440.32,0.0,440.32
389,183,17,1,196.14,19.61,176.53
390,184,91,1,839.33,125.9,713.43
391,184,387,1,308.65,15.43,293.22
392,184,47,3,243.79,0.0,731.37
393,184,133,1,667.4,0.0,667.4
394,185,410,1,306.16,15.31,290.85
395,185,376,1,453.69,0.0,453.69
396,185,242,1,278.87,0.0,278.87
397,185,274,1,1118.41,0.0,1118.41
398,186,228,1,199.9,0.0,199.9
399,186,471,1,349.02,0.0,349.02
400,187,275,1,1081.83,0.0,1081.83
401,188,257,1,634.07,95.11,538.96
402,188,367,2,457.38,0.0,914.76
403,189,357,2,588.86,58.89,1118.83
404,189,317,2,615.4,61.54,1169.26
405,189,127,1,1365.53,68.28,1297.25
406,190,378,1,227.81,0.0,227.81
407,190,471,1,349.02,0.0,349.02
408,190,37,1,55.66,5.57,50.09
409,191,436,1,79.93,0.0,79.93
410,192,96,1,511.88,0.0,511.88
411,192,33,1,878.41,0.0,878.41
412,192,418,1,564.71,56.47,508.24
413,193,461,1,93.37,0.0,93.37
414,193,432,1,261.85,0.0,261.85
415,193,148,1,860.35,0.0,860.35
416,193,55,1,574.34,0.0,574.34
417,193,109,1,228.13,11.41,216.72
418,194,373,1,204.99,10.25,194.74
419,195,362,1,33.21,1.66,31.55
420,195,413,1,298.14,14.91,283.23
421,195,14,1,314.48,0.0,314.48
422,195,61,1,706.83,0.0,706.83
423,196,284,2,131.83,0.0,263.66
424,196,212,1,768.71,0.0,768.71
425,196,291,2,1834.91,0.0,3669.82
426,197,465,1,104.67,0.0,104.67
427,197,306,1,99.19,0.0,99.19
428,197,123,1,91.11,0.0,91.11
429,198,187,2,475.52,0.0,951.04
430,199,264,1,727.96,72.8,655.16
431,199,394,2,395.25,0.0,790.5
432,200,197,1,92.09,0.0,92.09
433,200,83,1,392.77,19.64,373.13
434,201,187,1,475.52,0.0,475.52
435,202,256,4,86.88,0.0,347.52
436,202,104,3,538.44,0.0,1615.32
437,203,70,1,264.41,0.0,264.41
438,204,399,1,186.88,0.0,186.88
439,205,70,1,264.41,0.0,264.41
440,206,16,1,228.05,0.0,228.05
441,207,490,2,183.23,0.0,366.46
442,207,234,1,56.17,0.0,56.17
443,208,248,2,1578.51,0.0,3157.02
444,209,52,1,126.48,0.0,126.48
445,209,137,1,138.5,0.0,138.5
446,210,488,1,858.44,0.0,858.44
447,211,372,2,425.11,0.0,850.22
448,211,490,1,183.23,27.48,155.75
449,212,30,1,699.23,0.0,699.23
450,212,320,3,232.41,0.0,697.23
451,212,163,2,791.36,79.14,1503.58
452,213,273,3,1772.46,0.0,5317.38
453,213,40,2,41.35,0.0,82.7
454,214,326,4,1832.35,0.0,7329.4
455,214,188,1,165.39,8.27,157.12
456,214,357,1,588.86,0.0,588.86
457,214,77,1,359.08,0.0,359.08
458,214,218,1,177.67,0.0,177.67
459,215,251,1,315.76,31.58,284.18
460,216,250,1,422.96,42.3,380.66
461,217,287,1,274.76,27.48,247.28
462,218,383,1,306.03,0.0,306.03
463,218,60,1,1339.8,0.0,1339.8
464,219,295,2,262.52,0.0,525.04
465,219,223,1,220.63,0.0,220.63
466,219,441,2,416.67,0.0,833.34
467,220,250,1,422.96,0.0,422.96
468,221,90,1,1210.79,60.54,1150.25
469,222,71,1,267.56,0.0,267.56
470,222,252,3,237.74,0.0,713.22
471,222,353,1,202.79,10.14,192.65
472,222,355,3,233.24,0.0,699.72
473,223,284,1,131.83,0.0,131.83
474,224,317,1,615.4,0.0,615.4
475,224,337,1,443.22,0.0,443.22
476,224,302,4,479.59,0.0,1918.36
477,224,427,1,321.59,0.0,321.59
478,225,354,1,1184.44,0.0,1184.44
479,225,246,1,202.22,10.11,192.11
480,225,321,1,246.85,0.0,246.85
481,226,21,1,570.31,0.0,570.31
482,226,167,1,891.1,0.0,891.1
483,226,469,1,52.91,0.0,52.91
484,226,189,1,319.55,0.0,319.55
485,227,52,2,126.48,0.0,252.96
486,228,493,1,1098.62,0.0,1098.62
487,228,148,1,860.35,0.0,860.35
488,228,144,1,449.91,0.0,449.91
489,229,148,1,860.35,0.0,860.35
490,230,100,1,29.6,2.96,26.64
491,230,30,1,699.23,0.0,699.23
492,230,462,1,110.35,0.0,110.35
493,230,408,3,1300.32,0.0,3900.96
494,230,336,1,128.31,0.0,128.31
495,231,145,2,771.94,0.0,1543.88
496,232,388,1,182.3,0.0,182.3
497,233,132,1,1037.63,0.0,1037.63
498,234,345,2,632.85,189.85,1075.85
499,234,68,1,381.19,0.0,381.19
500,235,287,1,274.76,0.0,274.76
501,235,98,1,230.17,34.53,195.64
502,236,343,1,389.98,39.0,350.98
503,236,310,1,649.12,0.0,649.12
504,237,402,1,232.64,0.0,232.64
505,237,221,1,112.29,5.61,106.68
506,238,165,1,440.32,44.03,396.29
507,238,293,1,381.87,0.0,381.87
508,239,61,1,706.83,70.68,636.15
509,239,340,2,606.04,181.81,1030.27
510,240,381,1,25.06,0.0,25.06
511,240,347,1,915.83,0.0,915.83
512,241,30,1,699.23,69.92,629.31
513,242,133,1,667.4,0.0,667.4
514,242,437,1,1380.87,0.0,1380.87
515,242,2,2,25.65,0.0,51.3
516,243,94,2,1804.89,0.0,3609.78
517,244,416,2,561.22,0.0,1122.44
518,245,379,2,98.31,9.83,186.79
519,245,39,3,295.64,0.0,886.92
520,245,116,2,1256.01,0.0,2512.02
521,245,77,2,359.08,0.0,718.16
522,246,1,1,282.39,28.24,254.15
523,246,367,1,457.38,0.0,457.38
524,247,124,2,302.1,0.0,604.2
525,247,269,2,238.58,47.72,429.44
526,247,246,3,202.22,0.0,606.66
527,248,221,1,112.29,11.23,101.06
528,248,449,1,408.17,0.0,408.17
529,249,129,1,328.67,0.0,328.67
530,249,19,3,335.58,151.01,855.73
531,250,98,1,230.17,0.0,230.17
532,250,181,1,462.14,0.0,462.14
533,251,65,1,283.16,0.0,283.16
534,252,306,4,99.19,0.0,396.76
535,252,190,2,487.21,0.0,974.42
536,253,9,3,446.87,201.09,1139.52
537,253,284,2,131.83,0.0,263.66
538,254,407,2,282.38,0.0,564.76
539,255,387,1,308.65,0.0,308.65
540,256,204,1,974.33,0.0,974.33
541,256,60,1,1339.8,133.98,1205.82
542,256,492,2,440.69,0.0,881.38
543,257,325,2,98.85,19.77,177.93
544,257,193,4,25.71,0.0,102.84
545,257,74,1,266.63,13.33,253.3
546,258,112,1,580.03,87.0,493.03
547,258,427,3,321.59,144.72,820.05
548,258,20,1,306.9,15.34,291.56
549,259,54,1,260.44,0.0,260.44
550,259,164,1,345.24,0.0,345.24
551,259,222,1,410.97,0.0,410.97
552,259,73,1,230.9,0.0,230.9
553,259,291,2,1834.91,0.0,3669.82
554,260,101,1,799.75,39.99,759.76
555,261,275,1,1081.83,0.0,1081.83
556,262,63,2,402.03,0.0,804.06
557,262,288,1,456.92,22.85,434.07
558,262,408,1,1300.32,0.0,1300.32
559,263,40,1,41.35,0.0,41.35
560,263,388,1,182.3,0.0,182.3
561,263,86,1,161.9,0.0,161.9
562,263,98,1,230.17,0.0,230.17
563,264,27,4,314.18,62.84,1193.88
564,264,100,3,29.6,0.0,88.8
565,265,276,1,583.49,0.0,583.49
566,266,44,2,175.03,17.5,332.56
567,266,414,2,379.72,0.0,759.44
568,266,7,3,47.92,0.0,143.76
569,267,80,1,1519.77,75.99,1443.78
570,268,484,1,69.16,0.0,69.16
571,268,390,3,353.78,106.13,955.21
572,269,322,1,640.61,0.0,640.61
573,270,126,3,292.06,0.0,876.18
574,271,209,1,162.15,0.0,162.15
575,271,10,1,437.16,0.0,437.16
576,271,366,2,289.01,0.0,578.02
577,271,123,2,91.11,0.0,182.22
578,272,139,1,492.18,0.0,492.18
579,272,289,1,153.72,23.06,130.66
580,273,223,1,220.63,0.0,220.63
581,274,47,1,243.79,0.0,243.79
582,275,136,1,1747.63,174.76,1572.87
583,275,94,1,1804.89,0.0,1804.89
584,275,282,2,529.29,0.0,1058.58
585,275,261,4,121.02,0.0,484.08
586,276,2,2,25.65,2.56,48.74
587,276,55,3,574.34,0.0,1723.02
588,277,211,1,431.31,0.0,431.31
589,277,494,2,399.07,0.0,798.14
590,278,197,1,92.09,0.0,92.09
591,279,450,2,246.75,0.0,493.5
592,279,383,1,306.03,0.0,306.03
593,280,437,1,1380.87,0.0,1380.87
594,281,404,1,679.99,0.0,679.99
595,281,321,1,246.85,12.34,234.51
596,282,124,2,302.1,30.21,573.99
597,282,131,1,52.19,5.22,46.97
598,283,289,1,153.72,7.69,146.03
599,283,190,1,487.21,0.0,487.21
600,283,47,1,243.79,0.0,243.79
601,283,298,1,1913.81,0.0,1913.81
602,283,207,1,189.17,0.0,189.17
603,284,498,2,592.38,0.0,1184.76
604,284,94,1,1804.89,0.0,1804.89
605,284,119,1,910.77,0.0,910.77
606,284,67,1,591.6,0.0,591.6
607,285,445,2,252.8,0.0,505.6
608,286,408,2,1300.32,0.0,2600.64
609,287,425,1,658.16,0.0,658.16
610,288,284,1,131.83,0.0,131.83
611,289,319,1,335.01,0.0,335.01
612,289,422,1,206.67,31.0,175.67
613,289,480,2,553.88,0.0,1107.76
614,289,126,1,292.06,0.0,292.06
615,289,29,2,324.62,0.0,649.24
616,290,206,1,59.76,0.0,59.76
617,290,24,1,184.36,0.0,184.36
618,291,23,1,218.25,21.83,196.42
619,292,271,1,194.2,9.71,184.49
620,292,483,2,207.38,20.74,394.02
621,292,216,2,455.68,0.0,911.36
622,293,412,1,206.18,0.0,206.18
623,293,21,1,570.31,0.0,570.31
624,293,195,1,152.06,0.0,152.06
625,294,162,1,217.78,0.0,217.78
626,294,134,2,647.85,0.0,1295.7
627,294,212,1,768.71,0.0,768.71
628,295,144,1,449.91,44.99,404.92
629,295,370,1,31.67,0.0,31.67
630,296,83,2,392.77,0.0,785.54
631,296,310,1,649.12,32.46,616.66
632,296,440,3,81.49,0.0,244.47
633,296,17,3,196.14,29.42,559.0
634,296,464,1,382.94,0.0,382.94
635,297,95,1,273.61,27.36,246.25
636,298,159,1,686.54,0.0,686.54
637,299,300,1,1196.68,0.0,1196.68
638,299,39,1,295.64,14.78,280.86
639,300,399,1,186.88,18.69,168.19
640,301,29,1,324.62,0.0,324.62
641,302,474,2,49.57,0.0,99.14
642,303,314,1,388.47,0.0,388.47
643,303,279,1,529.9,0.0,529.9
644,303,424,1,621.42,0.0,621.42
645,304,308,1,1192.22,0.0,1192.22
646,304,255,1,715.76,0.0,715.76
647,304,422,1,206.67,20.67,186.0
648,305,393,1,497.61,0.0,497.61
649,305,316,2,1719.47,0.0,3438.94
650,305,403,1,53.13,7.97,45.16
651,305,318,1,701.27,0.0,701.27
652,306,353,4,202.79,0.0,811.16
653,307,442,2,974.22,0.0,1948.44
654,307,360,1,74.44,7.44,67.0
655,308,189,1,319.55,0.0,319.55
656,308,324,1,138.85,0.0,138.85
657,308,43,1,214.21,0.0,214.21
658,309,73,1,230.9,0.0,230.9
659,310,113,1,199.75,0.0,199.75
660,310,307,1,107.42,0.0,107.42
661,311,101,1,799.75,0.0,799.75
662,311,496,1,462.53,69.38,393.15
663,311,230,2,718.65,0.0,1437.3
664,311,490,3,183.23,0.0,549.69
665,311,460,2,218.49,0.0,436.98
666,312,51,1,480.81,0.0,480.81
667,313,217,2,49.19,14.76,83.62
668,314,103,1,830.74,0.0,830.74
669,315,418,3,564.71,84.71,1609.42
670,315,51,1,480.81,0.0,480.81
671,315,112,1,580.03,0.0,580.03
672,316,466,1,178.96,8.95,170.01
673,317,186,1,580.3,0.0,580.3
674,318,230,1,718.65,0.0,718.65
675,318,52,2,126.48,0.0,252.96
676,319,336,1,128.31,0.0,128.31
677,319,481,2,836.29,0.0,1672.58
678,319,18,1,216.42,0.0,216.42
679,320,149,1,406.41,0.0,406.41
680,320,14,1,314.48,0.0,314.48
681,320,167,2,891.1,178.22,1603.98
682,320,441,4,416.67,0.0,1666.68
683,321,371,1,426.79,21.34,405.45
684,321,64,1,686.09,34.3,651.79
685,322,384,2,61.77,0.0,123.54
686,323,94,2,1804.89,0.0,3609.78
