id_pedido,id_cliente,data_pedido,canal_venda,status_pedido,valor_frete,desconto_pedido,valor_total
107,1029,2024-01-08 15:15:58,Site,Concluido,0.0,0.0,1601.6
108,503,2024-05-10 04:39:01,App,Concluido,21.45,15.0,2245.84
109,4494,2025-04-26 05:27:40,Site,Concluido,6.09,20.0,318.38
110,871,2025-09-25 23:52:23,Site,Concluido,24.15,0.0,285.6
111,4489,2024-08-02 12:28:01,Marketplace,Concluido,17.54,30.0,1809.86
112,207,2025-08-04 00:47:13,Marketplace,Concluido,3.59,20.0,186.42
113,1485,2025-09-11 14:14:24,Site,Concluido,18.4,0.0,1585.57
114,864,2025-07-29 16:39:59,App,Concluido,18.73,0.0,709.57
115,2791,2025-04-25 12:31:48,Marketplace,Concluido,0.0,0.0,2874.49
116,564,2025-10-22 12:56:22,Site,Concluido,25.26,0.0,3428.55
117,4192,2024-01-09 02:39:20,Marketplace,Concluido,17.86,0.0,1240.71
118,1758,2025-08-31 12:49:24,Marketplace,Concluido,0.0,30.0,2436.08
119,1679,2024-07-25 16:59:06,App,Concluido,4.1,15.0,1197.4
120,3243,2025-04-23 21:13:46,App,Concluido,18.58,15.0,231.63
121,4637,2024-04-28 23:46:55,Marketplace,Concluido,0.0,0.0,1769.83
122,1060,2024-06-20 06:58:08,App,Concluido,20.57,0.0,426.33
123,1723,2025-09-26 23:27:14,App,Concluido,20.73,10.0,950.64
124,3315,2025-08-22 02:20:15,Marketplace,Concluido,13.54,0.0,2535.5
125,3158,2024-05-26 18:46:31,Site,Concluido,32.51,30.0,780.11
126,2626,2025-02-28 21:01:06,Site,Em processamento,7.3,10.0,744.84
127,2730,2025-05-21 10:55:50,Marketplace,Cancelado,0.14,15.0,3758.02
128,1598,2024-12-31 02:57:19,Site,Concluido,25.77,0.0,458.85
129,3061,2025-11-24 16:06:17,Site,Concluido,3.63,0.0,1059.8
130,2694,2025-06-02 11:39:14,App,Concluido,0.0,5.0,1178.84
131,4892,2025-10-31 07:39:45,Site,Concluido,4.01,0.0,2216.79
132,3628,2025-10-19 23:47:23,Marketplace,Concluido,1.78,0.0,791.08
133,1364,2025-04-26 21:32:12,Site,Concluido,2.86,0.0,580.88
134,1982,2024-01-12 23:56:57,Site,Concluido,24.28,5.0,1933.44
135,1664,2025-04-08 04:42:37,Marketplace,Concluido,30.09,5.0,1039.08
136,1530,2024-06-17 04:43:01,App,Concluido,0.0,0.0,388.6
137,2039,2024-11-16 05:21:37,App,Concluido,0.0,10.0,69.88
138,3303,2025-07-10 05:14:33,Marketplace,Cancelado,20.4,0.0,1266.14
139,2238,2025-10-04 01:46:37,Site,Cancelado,5.75,0.0,2710.69
140,1307,2024-03-21 05:03:16,Site,Concluido,10.69,10.0,1078.14
141,4030,2025-11-13 15:30:44,App,Concluido,28.5,0.0,2169.51
142,2676,2024-09-16 23:38:44,Site,Concluido,34.86,0.0,1860.56
143,1283,2024-09-12 12:49:09,Site,Concluido,33.46,5.0,1254.92
144,710,2025-09-30 16:41:03,Site,Concluido,26.21,0.0,1186.67
145,4745,2025-03-23 13:16:50,App,Concluido,33.73,20.0,67.01
146,4414,2024-07-26 12:37:29,Site,Concluido,30.14,5.0,998.39
147,3749,2025-12-14 13:31:48,App,Concluido,27.98,0.0,1835.49
148,4780,2025-10-11 18:24:23,Site,Concluido,25.98,0.0,1832.0
149,664,2024-06-20 16:33:23,Site,Concluido,31.07,0.0,330.56
150,1999,2024-03-10 03:49:17,Marketplace,Concluido,31.7,10.0,1867.26
151,3446,2025-06-11 19:19:00,App,Concluido,31.18,0.0,1241.77
152,3744,2025-11-22 07:59:26,App,Concluido,21.35,30.0,980.88
153,1496,2024-08-02 16:37:02,Site,Concluido,10.72,0.0,2760.78
154,3305,2025-11-12 22:25:20,App,Concluido,15.65,0.0,2864.96
155,3764,2025-03-13 11:42:40,Site,Concluido,24.2,25.0,1099.51
156,1854,2024-11-09 23:21:59,Site,Cancelado,27.48,10.0,1316.92
157,4660,2025-06-22 09:41:37,Site,Concluido,0.0,5.0,409.76
158,1292,2025-08-08 05:33:13,App,Concluido,25.78,25.0,101.16
159,3582,2024-03-04 12:30:33,Site,Concluido,23.04,0.0,1167.81
160,3458,2025-10-11 22:18:30,App,Concluido,22.66,10.0,134.24
161,1637,2025-11-11 04:49:46,Site,Concluido,11.62,0.0,3552.44
162,3697,2025-04-29 08:26:53,App,Concluido,18.5,25.0,1005.33
163,3000,2025-02-10 12:20:56,Site,Concluido,16.64,5.0,3855.29
164,3153,2025-01-17 01:12:16,Marketplace,Concluido,26.74,0.0,3069.82
165,699,2025-08-24 13:13:37,App,Concluido,30.68,0.0,1585.88
166,2161,2025-09-18 06:47:57,App,Concluido,0.0,0.0,756.84
167,4098,2025-11-13 09:05:52,App,Concluido,18.61,30.0,2346.58
168,4738,2025-06-14 05:19:12,Site,Concluido,17.85,0.0,99.92
169,855,2024-07-31 16:31:54,Site,Concluido,27.9,20.0,1826.68
170,3475,2024-03-20 00:15:51,Site,Concluido,11.66,10.0,862.61
171,1708,2025-12-12 23:59:05,App,Concluido,15.69,0.0,4171.46
172,2778,2025-12-04 15:12:43,Site,Concluido,20.13,0.0,447.58
173,1734,2024-07-17 09:04:11,Site,Concluido,34.2,15.0,7933.44
174,4932,2025-09-28 15:31:38,Marketplace,Concluido,25.62,0.0,2508.64
175,3511,2025-05-15 10:27:26,App,Concluido,28.75,0.0,213.11
176,203,2025-01-10 11:00:24,Marketplace,Concluido,12.44,0.0,2031.59
177,3256,2025-07-24 07:14:25,App,Concluido,21.61,20.0,1188.19
178,4219,2025-08-29 05:48:31,Marketplace,Concluido,0.0,0.0,1066.04
179,4497,2025-08-05 15:43:56,Site,Concluido,9.76,15.0,1687.61
180,767,2025-10-21 16:01:10,App,Concluido,9.02,0.0,4158.33
181,4390,2025-06-16 05:54:35,Site,Em processamento,24.94,0.0,2152.04
182,2328,2025-05-23 09:37:49,Site,Concluido,12.2,0.0,452.52
183,2932,2024-12-31 12:16:02,Marketplace,Concluido,23.27,10.0,189.8
184,198,2025-11-13 21:23:55,Site,Em processamento,5.68,0.0,2411.1
185,1931,2025-11-21 15:21:51,Site,Concluido,0.5,20.0,2122.32
186,3583,2024-05-19 07:24:19,Site,Concluido,19.43,5.0,563.35
187,609,2024-08-22 20:15:30,App,Concluido,18.58,15.0,1085.41
188,3273,2024-06-21 11:31:20,Site,Concluido,23.19,5.0,1471.91
189,1148,2025-07-01 17:35:51,App,Concluido,18.78,5.0,3599.12
190,4283,2024-03-18 01:16:29,App,Concluido,3.93,5.0,625.85
191,3398,2024-05-14 22:41:15,App,Em processamento,22.85,0.0,102.78
192,2512,2025-06-26 02:30:33,Site,Concluido,0.0,0.0,1898.53
193,1795,2025-06-21 14:27:57,App,Concluido,24.84,10.0,2021.47
194,660,2025-07-25 07:18:03,Site,Concluido,21.95,0.0,216.69
195,2812,2024-02-03 20:55:29,Marketplace,Concluido,19.4,0.0,1355.49
196,1370,2025-01-13 23:04:50,Site,Concluido,0.54,25.0,4677.73
197,1987,2024-02-04 16:42:52,Marketplace,Concluido,33.66,30.0,298.63
198,147,2025-10-18 15:59:37,Site,Em processamento,33.76,10.0,974.8
199,3220,2025-03-17 11:23:34,Site,Concluido,25.16,10.0,1460.82
200,2912,2025-04-12 23:29:56,App,Concluido,27.51,0.0,492.73
201,1735,2024-09-17 12:30:24,Marketplace,Em processamento,0.0,0.0,475.52
202,1844,2024-12-21 17:49:52,Site,Concluido,31.76,0.0,1994.6
203,489,2025-11-01 02:47:55,Site,Concluido,0.0,0.0,264.41
204,2977,2024-10-05 06:59:51,Site,Concluido,28.06,0.0,214.94
205,1960,2025-04-09 07:44:05,Site,Concluido,7.91,10.0,262.32
206,2386,2025-10-13 21:53:55,Site,Concluido,0.0,0.0,228.05
207,2920,2025-08-10 07:15:14,Site,Concluido,13.24,10.0,425.87
208,4737,2025-10-09 21:49:32,Site,Cancelado,24.64,0.0,3181.66
209,1803,2025-12-29 15:07:04,Site,Concluido,0.0,0.0,264.98
210,4062,2025-01-11 14:58:00,Marketplace,Cancelado,10.14,25.0,843.58
211,3370,2024-11-24 01:44:11,App,Em processamento,29.61,5.0,1030.58
212,263,2024-12-25 11:10:43,Site,Concluido,15.63,30.0,2885.67
213,624,2024-07-16 13:50:07,App,Concluido,5.24,10.0,5395.32
214,1017,2024-07-12 10:21:30,Site,Concluido,0.0,15.0,8597.13
215,3644,2024-12-21 17:53:59,App,Concluido,16.99,0.0,301.17
216,4977,2024-01-22 11:15:15,Marketplace,Concluido,33.93,5.0,409.59
217,2050,2025-10-22 04:31:03,App,Concluido,22.57,15.0,254.85
218,3724,2025-01-19 00:44:22,Site,Concluido,18.94,0.0,1664.77
219,4549,2024-01-15 10:47:43,Site,Concluido,11.44,0.0,1590.45
220,3109,2024-10-10 16:53:17,App,Concluido,9.41,0.0,432.37
221,4091,2025-04-08 21:07:55,Site,Concluido,0.0,20.0,1130.25
222,2057,2025-06-02 15:32:53,Marketplace,Concluido,22.03,15.0,1880.18
223,3171,2025-03-16 03:18:46,Site,Concluido,0.0,0.0,131.83
224,1683,2024-07-18 17:23:17,App,Concluido,6.58,0.0,3305.15
225,2256,2025-02-19 06:14:02,Site,Concluido,0.58,10.0,1613.98
226,1155,2024-01-21 06:28:59,App,Concluido,3.24,0.0,1837.11
227,4500,2025-05-25 07:52:47,Site,Concluido,0.0,10.0,242.96
228,3192,2024-07-29 19:18:13,App,Concluido,30.51,0.0,2439.39
229,1697,2024-03-21 02:13:35,App,Concluido,5.38,0.0,865.73
230,3992,2024-03-03 04:45:49,Site,Concluido,0.38,0.0,4865.87
231,4724,2024-03-08 11:25:10,App,Concluido,12.99,0.0,1556.87
232,4683,2025-04-17 11:07:59,Marketplace,Concluido,20.48,20.0,182.78
233,1649,2024-11-20 14:08:11,Site,Concluido,12.39,0.0,1050.02
234,1446,2025-08-12 12:19:48,Site,Concluido,12.95,0.0,1469.99
235,4200,2025-11-13 02:08:08,App,Concluido,10.7,0.0,481.1
236,3924,2025-07-17 06:38:09,App,Cancelado,16.47,0.0,1016.57
237,254,2024-08-12 05:09:28,Site,Concluido,24.59,15.0,348.91
238,3184,2025-08-08 07:04:15,Marketplace,Em processamento,30.06,25.0,783.22
239,2558,2025-04-22 21:21:24,App,Concluido,17.64,0.0,1684.06
240,99,2024-03-18 21:16:41,App,Concluido,16.99,0.0,957.88
241,2201,2025-05-12 11:23:44,Marketplace,Concluido,25.88,0.0,655.19
242,2962,2024-09-30 21:18:50,Site,Concluido,6.69,5.0,2101.26
243,4974,2024-07-19 16:15:18,Site,Concluido,19.2,15.0,3613.98
244,4434,2025-04-16 11:00:20,Site,Concluido,26.8,25.0,1124.24
245,3778,2024-12-31 07:32:34,Site,Concluido,1.54,15.0,4290.43
246,2870,2024-11-09 22:35:14,Marketplace,Concluido,9.05,0.0,720.58
247,3235,2025-02-14 01:52:32,Site,Concluido,14.24,0.0,1654.54
248,3792,2025-11-29 10:17:26,Marketplace,Concluido,5.07,0.0,514.3
249,957,2024-12-30 18:22:37,App,Concluido,0.0,20.0,1164.4
250,4068,2025-11-16 18:05:05,Marketplace,Concluido,18.1,30.0,680.41
251,161,2025-07-11 03:27:35,Site,Cancelado,3.02,0.0,286.18
252,4494,2024-01-28 02:25:17,Marketplace,Concluido,29.0,0.0,1400.18
253,1301,2024-07-11 15:44:19,App,Concluido,18.95,0.0,1422.13
254,4912,2025-03-22 18:48:19,Marketplace,Concluido,0.0,0.0,564.76
255,3988,2025-09-22 06:02:52,App,Concluido,24.06,0.0,332.71
256,1528,2025-01-22 10:20:42,Site,Concluido,28.4,20.0,3069.93
257,1219,2024-01-26 18:57:56,App,Concluido,14.76,0.0,548.83
258,4497,2025-09-29 09:09:35,Site,Concluido,18.86,0.0,1623.5
259,4736,2025-10-13 10:41:44,Site,Concluido,0.0,0.0,4917.37
260,3105,2024-07-01 18:47:58,App,Concluido,0.0,0.0,759.76
261,2736,2025-04-11 17:51:34,Site,Concluido,0.0,0.0,1081.83
262,4556,2025-04-09 14:59:46,App,Concluido,9.64,0.0,2548.09
263,955,2025-09-02 00:26:59,App,Cancelado,19.82,5.0,630.54
264,4566,2024-07-10 12:56:24,Marketplace,Concluido,0.0,10.0,1272.68
265,3447,2025-08-20 17:41:20,App,Concluido,11.35,20.0,574.84
266,1046,2025-12-12 15:35:19,Site,Concluido,0.0,0.0,1235.76
267,1694,2024-10-01 21:39:57,App,Concluido,20.14,0.0,1463.92
268,3437,2025-07-25 17:05:16,App,Concluido,10.54,0.0,1034.91
269,563,2024-09-16 02:08:06,App,Concluido,14.61,5.0,650.22
270,2486,2025-12-14 14:16:12,Site,Concluido,11.32,25.0,862.5
271,3355,2024-06-26 02:31:49,App,Concluido,4.54,25.0,1339.09
272,226,2025-08-26 11:22:46,Marketplace,Concluido,11.4,0.0,634.24
273,4894,2025-05-08 19:46:01,Site,Concluido,26.15,0.0,246.78
274,960,2024-02-09 08:20:35,App,Concluido,15.32,0.0,259.11
275,4549,2025-09-29 23:56:35,Marketplace,Concluido,0.0,0.0,4920.42
276,3068,2024-09-13 09:01:24,App,Concluido,0.0,20.0,1751.76
277,816,2025-08-06 18:16:03,Site,Concluido,6.51,0.0,1235.96
278,4755,2024-08-04 04:59:47,Site,Concluido,0.0,0.0,92.09
279,4643,2025-01-02 02:39:52,App,Concluido,0.89,20.0,780.42
280,3121,2024-07-06 00:43:49,Site,Concluido,19.31,0.0,1400.18
281,17,2024-01-30 00:18:53,Marketplace,Cancelado,1.0,0.0,915.5
282,1244,2025-04-19 00:39:30,Site,Concluido,18.72,0.0,639.68
283,2206,2024-09-20 20:18:10,App,Concluido,31.11,10.0,3001.12
284,2525,2024-05-27 20:02:01,Marketplace,Concluido,11.65,0.0,4503.67
285,1070,2024-06-27 09:59:19,Site,Concluido,18.0,0.0,523.6
286,3445,2024-12-31 03:00:18,App,Concluido,25.4,0.0,2626.04
287,2566,2024-06-28 02:39:57,Marketplace,Cancelado,27.76,0.0,685.92
288,1061,2024-05-27 05:51:59,Marketplace,Concluido,15.71,0.0,147.54
289,2328,2024-03-06 19:45:39,Marketplace,Concluido,12.67,5.0,2567.41
290,3421,2025-11-19 22:35:33,Site,Concluido,0.0,15.0,229.12
291,302,2025-05-10 09:25:28,Site,Concluido,9.76,0.0,206.18
292,4277,2025-08-07 23:35:17,Site,Concluido,0.0,0.0,1489.87
293,607,2025-08-24 03:34:10,Site,Concluido,31.32,0.0,959.87
294,3171,2024-10-12 05:18:07,App,Concluido,6.36,0.0,2288.55
295,700,2025-04-28 09:51:07,Marketplace,Cancelado,22.81,15.0,444.4
296,1140,2024-12-25 17:29:09,Site,Concluido,30.84,10.0,2609.45
297,191,2025-04-24 20:33:23,Marketplace,Concluido,21.02,10.0,257.27
298,2301,2025-03-09 07:41:40,App,Concluido,6.43,0.0,692.97
299,981,2024-10-17 19:55:10,App,Concluido,8.36,25.0,1460.9
300,2976,2024-12-31 21:34:21,Marketplace,Concluido,7.61,0.0,175.8
301,1185,2024-12-10 16:19:14,Site,Concluido,9.27,25.0,308.89
302,3328,2024-09-23 19:33:40,Site,Concluido,26.38,0.0,125.52
303,3395,2025-05-22 19:54:03,Site,Concluido,25.07,15.0,1549.86
304,128,2025-12-10 05:39:39,App,Concluido,19.27,0.0,2113.25
305,2066,2025-06-07 13:56:20,Site,Concluido,0.0,0.0,4682.98
306,1817,2024-06-15 22:20:54,Marketplace,Concluido,18.56,25.0,804.72
307,570,2024-07-23 03:24:40,Marketplace,Concluido,0.59,0.0,2016.03
308,1896,2025-10-07 20:21:24,Marketplace,Cancelado,2.27,0.0,674.88
309,2734,2024-04-06 09:20:08,Marketplace,Concluido,0.49,20.0,211.39
310,3864,2025-08-01 14:46:06,App,Cancelado,29.41,0.0,336.58
311,4722,2024-08-31 13:32:04,App,Concluido,18.88,0.0,3635.75
312,4015,2024-05-20 01:36:19,Site,Concluido,31.14,0.0,511.95
313,2902,2025-04-09 07:39:17,Site,Concluido,0.0,15.0,68.62
314,1687,2024-01-13 01:20:39,Marketplace,Concluido,0.0,10.0,820.74
315,3010,2024-07-02 09:10:11,Site,Concluido,2.24,0.0,2672.5
316,155,2025-12-19 15:20:04,App,Concluido,28.62,5.0,193.63
317,2538,2025-09-12 19:17:13,Site,Concluido,20.21,5.0,595.51
318,1410,2025-07-17 11:08:25,App,Concluido,12.36,0.0,983.97
319,4058,2024-10-02 22:59:39,Site,Concluido,12.68,0.0,2029.99
320,785,2024-01-10 20:11:12,App,Concluido,33.18,10.0,4014.73
321,3176,2025-02-02 22:30:55,Marketplace,Concluido,33.1,25.0,1065.34
322,4342,2025-07-10 23:11:57,Site,Concluido,24.39,20.0,127.93
323,2807,2025-12-06 18:50:07,Site,Em processamento,27.8,0.0,5310.63
324,538,2024-05-27 11:47:59,Site,Concluido,26.2,10.0,6602.7
325,1842,2025-11-10 22:40:55,Site,Concluido,0.0,0.0,496.22
326,2456,2024-05-01 20:49:26,Site,Concluido,0.0,0.0,663.06
327,525,2024-07-15 05:22:28,App,Concluido,2.58,0.0,285.34
328,2951,2024-07-20 18:22:16,App,Concluido,21.93,0.0,2474.01
329,4132,2024-06-14 10:32:00,App,Concluido,20.49,0.0,1226.06
330,4781,2024-07-15 09:01:50,Marketplace,Concluido,12.7,5.0,1450.01
331,4116,2024-05-16 01:15:46,Site,Concluido,8.77,0.0,1242.1
332,2369,2024-04-19 10:05:57,Site,Concluido,23.71,30.0,117.51
333,3848,2024-10-31 18:05:36,App,Em processamento,0.06,0.0,1243.41
334,4496,2024-10-06 14:49:33,Site,Concluido,16.93,20.0,1427.07
335,2702,2024-10-16 20:28:11,Site,Concluido,0.0,5.0,253.16
336,972,2025-05-11 04:21:21,App,Concluido,3.22,0.0,2105.23
337,1167,2024-06-14 17:32:15,App,Concluido,17.52,0.0,97.45
338,4930,2024-07-03 02:51:43,Site,Concluido,24.88,10.0,1222.16
339,2775,2025-02-24 18:40:25,Site,Concluido,18.51,10.0,1798.72
340,1983,2024-11-13 22:46:21,App,Concluido,18.32,20.0,1541.61
341,854,2025-02-18 11:09:56,Site,Concluido,2.69,25.0,452.03
342,4147,2025-02-08 11:20:42,Site,Concluido,24.92,20.0,2371.45
343,3737,2025-04-05 07:13:03,Marketplace,Em processamento,0.0,0.0,1480.53
344,3770,2024-06-27 08:24:41,Site,Concluido,15.09,0.0,2398.38
345,575,2025-03-29 08:24:46,Site,Cancelado,28.05,0.0,373.29
346,3262,2025-05-12 06:04:01,App,Concluido,34.13,5.0,1011.09
347,1149,2025-02-08 17:45:20,Site,Concluido,22.15,0.0,367.6
348,1716,2025-10-04 09:09:33,App,Concluido,18.88,0.0,659.49
349,4778,2025-07-24 00:59:09,App,Concluido,22.74,0.0,1649.55
350,4934,2024-10-16 09:37:01,Site,Concluido,20.83,15.0,272.97
351,3855,2024-08-12 08:41:31,App,Concluido,0.0,15.0,254.07
352,2492,2024-10-03 09:18:04,Marketplace,Concluido,0.0,0.0,739.51
353,2661,2024-04-24 11:13:23,App,Em processamento,8.31,15.0,866.17
354,3125,2025-08-24 07:13:05,Site,Concluido,8.33,0.0,149.2
355,3052,2025-05-28 15:50:48,Site,Concluido,0.0,0.0,2296.02
356,5,2025-04-19 08:31:39,Marketplace,Concluido,0.0,0.0,1094.73
357,4870,2024-01-05 20:53:14,App,Concluido,0.0,10.0,606.66
358,877,2025-08-04 23:27:38,Site,Concluido,0.0,0.0,1106.19
