id_entrega,id_pedido,transportadora,data_envio,data_prevista,data_entrega,status_entrega,tentativas_entrega,custo_logistico
69,77,EntregaMax,2024-01-11 20:59:25,2024-01-16 00:00:00,2024-01-16 19:00:00,Entregue,2,62.18
70,78,RapidGo,2025-10-16 19:30:04,2025-10-22 00:00:00,2025-10-21 19:00:00,Entregue,1,46.33
71,79,TransBrasil,2025-02-05 13:01:12,2025-02-07 00:00:00,2025-02-06 12:00:00,Entregue,1,11.28
72,80,RapidGo,2025-08-06 14:23:54,2025-08-10 00:00:00,2025-08-12 18:00:00,Entregue,2,63.21
73,81,TransBrasil,2024-06-25 20:08:31,2024-06-27 00:00:00,2024-06-26 14:00:00,Entregue,1,20.69
74,82,RapidGo,2024-03-05 17:48:54,2024-03-08 00:00:00,2024-03-07 12:00:00,Entregue,1,41.13
75,83,EntregaMax,2024-10-26 19:43:46,2024-10-31 00:00:00,2024-10-31 14:00:00,Entregue,2,50.94
76,85,RapidGo,2025-07-29 02:51:34,2025-08-02 00:00:00,2025-08-03 13:00:00,Entregue,2,22.18
77,86,LogExpress,2025-02-06 15:45:08,2025-02-12 00:00:00,2025-02-10 19:00:00,Entregue,1,50.24
78,87,TransBrasil,2024-01-20 06:05:44,2024-01-28 00:00:00,2024-01-28 19:00:00,Entregue,2,29.37
79,88,LogExpress,2025-11-14 08:18:15,2025-11-21 00:00:00,2025-11-21 17:00:00,Entregue,1,63.28
80,91,LogExpress,2025-04-16 02:00:53,2025-04-23 00:00:00,2025-04-26 19:00:00,Entregue,1,39.57
81,92,EntregaMax,2024-10-19 23:08:04,2024-10-27 00:00:00,2024-10-27 08:00:00,Entregue,1,41.31
82,94,EntregaMax,2025-09-18 16:58:41,2025-09-23 00:00:00,2025-09-27 15:00:00,Entregue,1,14.09
83,95,LogExpress,2024-05-29 09:51:06,2024-06-03 00:00:00,2024-06-03 17:00:00,Entregue,1,23.16
84,96,RapidGo,2024-10-21 15:21:15,2024-10-25 00:00:00,2024-10-25 08:00:00,Entregue,1,31.44
85,98,RapidGo,2025-10-02 08:56:10,2025-10-08 00:00:00,2025-10-11 13:00:00,Entregue,2,49.37
86,99,RapidGo,2025-02-17 23:44:58,2025-02-20 00:00:00,2025-02-23 09:00:00,Entregue,1,17.4
87,100,RapidGo,2024-07-25 14:10:42,2024-07-28 00:00:00,2024-08-02 08:00:00,Entregue,1,50.73
88,101,RapidGo,2024-05-29 11:02:36,2024-05-31 00:00:00,2024-06-02 09:00:00,Entregue,1,15.63
89,102,LogExpress,2025-07-14 12:15:31,2025-07-19 00:00:00,2025-07-20 12:00:00,Entregue,3,39.66
90,103,TransBrasil,2025-03-10 08:04:02,2025-03-13 00:00:00,2025-03-15 08:00:00,Entregue,1,19.69
91,104,LogExpress,2024-12-31 05:47:43,2025-01-06 00:00:00,2025-01-06 08:00:00,Entregue,1,43.23
92,105,RapidGo,2025-05-24 12:58:14,2025-06-01 00:00:00,2025-06-01 09:00:00,Entregue,1,55.39
93,106,LogExpress,2024-07-27 19:26:52,2024-08-03 00:00:00,2024-08-07 18:00:00,Entregue,1,15.64
94,107,LogExpress,2024-01-09 09:15:58,2024-01-15 00:00:00,2024-01-15 09:00:00,Entregue,1,59.48
95,108,RapidGo,2024-05-11 17:39:01,2024-05-18 00:00:00,2024-05-18 09:00:00,Entregue,1,32.94
96,109,EntregaMax,2025-04-27 22:27:40,2025-04-29 00:00:00,2025-04-30 19:00:00,Entregue,1,37.85
97,110,TransBrasil,2025-09-27 07:52:23,2025-10-02 00:00:00,2025-10-02 08:00:00,Entregue,1,22.72
98,111,RapidGo,2024-08-04 01:28:01,2024-08-11 00:00:00,2024-08-11 18:00:00,Entregue,1,27.47
99,112,RapidGo,2025-08-05 02:47:13,2025-08-13 00:00:00,2025-08-13 18:00:00,Entregue,1,44.53
100,113,LogExpress,2025-09-12 18:14:24,2025-09-16 00:00:00,2025-09-18 18:00:00,Entregue,1,17.82
101,114,LogExpress,2025-07-30 14:39:59,2025-08-05 00:00:00,2025-08-04 19:00:00,Entregue,1,9.81
102,115,RapidGo,2025-04-25 20:31:48,2025-04-27 00:00:00,2025-04-27 09:00:00,Entregue,1,26.82
103,116,LogExpress,2025-10-23 17:56:22,2025-10-25 00:00:00,2025-10-25 13:00:00,Entregue,1,57.79
104,117,EntregaMax,2024-01-09 22:39:20,2024-01-12 00:00:00,2024-01-14 15:00:00,Entregue,2,18.52
105,118,LogExpress,2025-09-01 13:49:24,2025-09-08 00:00:00,2025-09-08 14:00:00,Entregue,1,49.07
106,119,LogExpress,2024-07-26 02:59:06,2024-07-30 00:00:00,2024-08-02 18:00:00,Entregue,1,14.11
107,120,RapidGo,2025-04-25 11:13:46,2025-04-29 00:00:00,2025-04-29 16:00:00,Entregue,1,18.39
108,121,RapidGo,2024-04-29 19:46:55,2024-05-07 00:00:00,2024-05-06 19:00:00,Entregue,1,27.55
109,122,RapidGo,2024-06-20 19:58:08,2024-06-24 00:00:00,2024-06-24 09:00:00,Entregue,1,38.62
110,123,RapidGo,2025-09-27 10:27:14,2025-09-29 00:00:00,2025-09-29 17:00:00,Entregue,1,28.7
111,124,RapidGo,2025-08-23 15:20:15,2025-08-27 00:00:00,2025-08-27 13:00:00,Entregue,1,21.52
112,125,LogExpress,2024-05-27 03:46:31,2024-06-03 00:00:00,2024-06-03 11:00:00,Entregue,1,13.01
113,126,TransBrasil,2025-03-02 00:01:06,2025-03-10 00:00:00,,Em transito,0,10.94
114,128,LogExpress,2025-01-01 18:57:19,2025-01-06 00:00:00,2025-01-11 13:00:00,Entregue,1,63.26
115,129,EntregaMax,2025-11-25 01:06:17,2025-12-02 00:00:00,2025-12-02 15:00:00,Entregue,1,54.79
116,130,TransBrasil,2025-06-03 01:39:14,2025-06-06 00:00:00,2025-06-06 19:00:00,Entregue,1,63.18
117,131,TransBrasil,2025-11-01 06:39:45,2025-11-03 00:00:00,2025-11-03 19:00:00,Entregue,1,42.81
118,132,LogExpress,2025-10-21 15:47:23,2025-10-28 00:00:00,2025-10-27 11:00:00,Entregue,1,41.85
119,133,RapidGo,2025-04-27 10:32:12,2025-05-03 00:00:00,2025-05-01 19:00:00,Entregue,1,47.02
120,134,LogExpress,2024-01-14 15:56:57,2024-01-16 00:00:00,2024-01-17 18:00:00,Entregue,1,42.55
121,135,TransBrasil,2025-04-09 14:42:37,2025-04-11 00:00:00,2025-04-13 19:00:00,Entregue,3,15.08
122,136,TransBrasil,2024-06-17 16:43:01,2024-06-20 00:00:00,2024-06-19 10:00:00,Entregue,1,49.13
123,137,LogExpress,2024-11-17 13:21:37,2024-11-21 00:00:00,2024-11-22 19:00:00,Entregue,1,17.36
124,140,TransBrasil,2024-03-21 22:03:16,2024-03-24 00:00:00,2024-03-27 16:00:00,Entregue,2,30.37
125,141,TransBrasil,2025-11-15 09:30:44,2025-11-22 00:00:00,2025-11-25 13:00:00,Entregue,1,33.01
126,142,RapidGo,2024-09-17 19:38:44,2024-09-19 00:00:00,2024-09-19 09:00:00,Entregue,1,59.67
127,143,RapidGo,2024-09-12 21:49:09,2024-09-19 00:00:00,2024-09-19 10:00:00,Entregue,1,15.94
128,144,TransBrasil,2025-10-02 00:41:03,2025-10-04 00:00:00,2025-10-04 14:00:00,Entregue,1,64.87
129,145,TransBrasil,2025-03-25 05:16:50,2025-03-29 00:00:00,2025-03-29 11:00:00,Entregue,1,51.46
130,146,EntregaMax,2024-07-28 00:37:29,2024-08-04 00:00:00,2024-08-05 11:00:00,Entregue,1,42.43
131,147,RapidGo,2025-12-15 00:31:48,2025-12-21 00:00:00,2025-12-21 11:00:00,Entregue,1,49.04
132,148,RapidGo,2025-10-13 09:24:23,2025-10-18 00:00:00,2025-10-18 18:00:00,Entregue,1,18.35
133,149,EntregaMax,2024-06-22 09:33:23,2024-06-29 00:00:00,2024-06-29 17:00:00,Entregue,1,16.74
134,150,RapidGo,2024-03-11 00:49:17,2024-03-13 00:00:00,2024-03-13 15:00:00,Entregue,1,61.13
135,151,RapidGo,2025-06-12 02:19:00,2025-06-18 00:00:00,2025-06-21 15:00:00,Entregue,1,51.96
136,152,RapidGo,2025-11-22 19:59:26,2025-11-29 00:00:00,2025-11-27 15:00:00,Entregue,1,59.91
137,153,LogExpress,2024-08-04 08:37:02,2024-08-10 00:00:00,2024-08-09 11:00:00,Entregue,1,60.49
138,154,EntregaMax,2025-11-14 17:25:20,2025-11-22 00:00:00,2025-11-22 16:00:00,Entregue,1,19.72
139,155,TransBrasil,2025-03-14 16:42:40,2025-03-16 00:00:00,2025-03-15 11:00:00,Entregue,1,60.43
140,157,LogExpress,2025-06-23 06:41:37,2025-06-27 00:00:00,2025-06-27 08:00:00,Entregue,1,9.87
141,158,EntregaMax,2025-08-09 08:33:13,2025-08-11 00:00:00,2025-08-11 13:00:00,Entregue,1,25.75
142,159,TransBrasil,2024-03-06 10:30:33,2024-03-13 00:00:00,2024-03-13 09:00:00,Entregue,1,18.15
143,160,EntregaMax,2025-10-12 21:18:30,2025-10-19 00:00:00,2025-10-21 15:00:00,Entregue,1,41.94
144,161,LogExpress,2025-11-12 06:49:46,2025-11-16 00:00:00,2025-11-16 10:00:00,Entregue,1,34.69
145,162,RapidGo,2025-04-30 16:26:53,2025-05-07 00:00:00,2025-05-09 10:00:00,Entregue,1,52.21
146,163,RapidGo,2025-02-10 17:20:56,2025-02-17 00:00:00,2025-02-17 09:00:00,Entregue,1,51.63
147,164,LogExpress,2025-01-17 12:12:16,2025-01-23 00:00:00,2025-01-21 10:00:00,Entregue,1,23.43
148,165,RapidGo,2025-08-26 01:13:37,2025-09-03 00:00:00,2025-09-08 09:00:00,Entregue,2,31.26
149,166,RapidGo,2025-09-18 12:47:57,2025-09-26 00:00:00,2025-09-26 15:00:00,Entregue,1,53.6
150,167,LogExpress,2025-11-14 21:05:52,2025-11-19 00:00:00,2025-11-19 09:00:00,Entregue,1,64.36
151,168,RapidGo,2025-06-16 03:19:12,2025-06-21 00:00:00,2025-06-25 13:00:00,Entregue,1,24.71
152,169,EntregaMax,2024-08-01 02:31:54,2024-08-04 00:00:00,2024-08-03 14:00:00,Entregue,1,15.0
153,170,EntregaMax,2024-03-21 08:15:51,2024-03-26 00:00:00,2024-03-26 08:00:00,Entregue,1,27.48
154,171,LogExpress,2025-12-13 04:59:05,2025-12-17 00:00:00,2025-12-17 19:00:00,Entregue,1,27.68
155,172,TransBrasil,2025-12-05 03:12:43,2025-12-08 00:00:00,2025-12-10 10:00:00,Entregue,2,51.53
156,173,LogExpress,2024-07-17 22:04:11,2024-07-24 00:00:00,2024-07-24 14:00:00,Entregue,1,32.24
157,174,LogExpress,2025-09-29 08:31:38,2025-10-01 00:00:00,2025-10-01 16:00:00,Entregue,1,15.94
158,175,TransBrasil,2025-05-15 17:27:26,2025-05-18 00:00:00,2025-05-18 09:00:00,Entregue,1,9.05
159,176,EntregaMax,2025-01-11 11:00:24,2025-01-14 00:00:00,2025-01-14 13:00:00,Entregue,1,31.1
160,177,RapidGo,2025-07-24 22:14:25,2025-08-01 00:00:00,2025-07-31 13:00:00,Entregue,1,59.3
161,178,EntregaMax,2025-08-31 00:48:31,2025-09-03 00:00:00,2025-09-03 16:00:00,Entregue,1,40.68
162,179,TransBrasil,2025-08-06 15:43:56,2025-08-11 00:00:00,2025-08-12 09:00:00,Entregue,1,50.07
163,180,LogExpress,2025-10-23 07:01:10,2025-10-27 00:00:00,2025-10-27 12:00:00,Entregue,1,32.92
164,181,EntregaMax,2025-06-17 23:54:35,2025-06-21 00:00:00,,Em transito,0,30.61
165,182,EntregaMax,2025-05-24 10:37:49,2025-05-30 00:00:00,2025-05-30 17:00:00,Entregue,1,22.95
166,183,RapidGo,2025-01-02 10:16:02,2025-01-04 00:00:00,2025-01-04 18:00:00,Entregue,1,51.94
167,184,LogExpress,2025-11-14 09:23:55,2025-11-16 00:00:00,,Em transito,0,48.18
168,185,RapidGo,2025-11-22 19:21:51,2025-11-30 00:00:00,2025-11-28 09:00:00,Entregue,1,47.6
169,186,LogExpress,2024-05-20 20:24:19,2024-05-25 00:00:00,2024-05-25 19:00:00,Entregue,1,62.84
170,187,TransBrasil,2024-08-23 11:15:30,2024-08-30 00:00:00,2024-09-03 10:00:00,Entregue,2,53.97
171,188,TransBrasil,2024-06-22 06:31:20,2024-06-29 00:00:00,2024-07-04 09:00:00,Entregue,1,20.61
172,189,EntregaMax,2025-07-03 17:35:51,2025-07-06 00:00:00,2025-07-04 17:00:00,Entregue,1,64.96
173,190,RapidGo,2024-03-19 02:16:29,2024-03-22 00:00:00,2024-03-22 12:00:00,Entregue,1,18.98
174,191,LogExpress,2024-05-16 00:41:15,2024-05-22 00:00:00,,Em transito,0,57.14
175,192,TransBrasil,2025-06-26 23:30:33,2025-06-30 00:00:00,2025-07-01 08:00:00,Entregue,1,28.79
176,193,RapidGo,2025-06-23 14:27:57,2025-06-26 00:00:00,2025-06-28 18:00:00,Entregue,1,49.31
177,194,LogExpress,2025-07-26 01:18:03,2025-07-28 00:00:00,2025-07-28 13:00:00,Entregue,1,43.68
178,195,EntregaMax,2024-02-05 17:55:29,2024-02-10 00:00:00,2024-02-10 14:00:00,Entregue,1,64.45
179,196,LogExpress,2025-01-14 15:04:50,2025-01-20 00:00:00,2025-01-20 10:00:00,Entregue,1,8.54
180,197,LogExpress,2024-02-06 00:42:52,2024-02-13 00:00:00,2024-02-13 16:00:00,Entregue,1,23.49
181,198,RapidGo,2025-10-20 00:59:37,2025-10-22 00:00:00,2025-10-22 08:00:00,Entregue,1,14.3
182,199,RapidGo,2025-03-18 20:23:34,2025-03-21 00:00:00,2025-03-21 12:00:00,Entregue,1,9.02
183,200,EntregaMax,2025-04-13 11:29:56,2025-04-21 00:00:00,2025-04-21 15:00:00,Entregue,1,62.52
184,201,TransBrasil,2024-09-19 04:30:24,2024-09-23 00:00:00,,Em transito,0,63.99
185,202,EntregaMax,2024-12-22 20:49:52,2024-12-26 00:00:00,2024-12-29 09:00:00,Entregue,1,64.5
186,203,LogExpress,2025-11-02 01:47:55,2025-11-08 00:00:00,2025-11-08 12:00:00,Entregue,1,14.86
187,204,LogExpress,2024-10-06 11:59:51,2024-10-08 00:00:00,2024-10-07 10:00:00,Entregue,1,53.64
188,205,RapidGo,2025-04-10 09:44:05,2025-04-12 00:00:00,2025-04-12 11:00:00,Entregue,2,17.91
189,206,RapidGo,2025-10-14 18:53:55,2025-10-21 00:00:00,2025-10-26 10:00:00,Entregue,2,20.79
190,207,LogExpress,2025-08-11 11:15:14,2025-08-13 00:00:00,2025-08-16 12:00:00,Entregue,1,58.02
191,209,LogExpress,2025-12-30 22:07:04,2026-01-05 00:00:00,2026-01-07 16:00:00,Entregue,2,10.02
192,211,LogExpress,2024-11-25 05:44:11,2024-12-01 00:00:00,,Em transito,0,24.04
193,212,LogExpress,2024-12-27 04:10:43,2024-12-31 00:00:00,2024-12-31 17:00:00,Entregue,1,62.84
194,213,LogExpress,2024-07-17 20:50:07,2024-07-23 00:00:00,2024-07-28 09:00:00,Entregue,1,35.39
195,214,RapidGo,2024-07-12 16:21:30,2024-07-15 00:00:00,2024-07-15 08:00:00,Entregue,1,53.45
196,215,TransBrasil,2024-12-23 05:53:59,2024-12-27 00:00:00,2024-12-29 16:00:00,Entregue,1,21.61
197,216,EntregaMax,2024-01-24 02:15:15,2024-02-01 00:00:00,2024-02-01 19:00:00,Entregue,1,58.21
198,217,EntregaMax,2025-10-23 14:31:03,2025-10-31 00:00:00,2025-10-29 18:00:00,Entregue,1,59.8
199,218,LogExpress,2025-01-19 05:44:22,2025-01-26 00:00:00,2025-01-27 19:00:00,Entregue,1,24.36
200,219,RapidGo,2024-01-17 06:47:43,2024-01-19 00:00:00,2024-01-18 09:00:00,Entregue,1,38.78
201,220,TransBrasil,2024-10-11 01:53:17,2024-10-15 00:00:00,2024-10-16 17:00:00,Entregue,1,55.89
202,221,RapidGo,2025-04-09 15:07:55,2025-04-16 00:00:00,2025-04-17 13:00:00,Entregue,2,47.21
203,222,LogExpress,2025-06-03 21:32:53,2025-06-05 00:00:00,2025-06-06 08:00:00,Entregue,1,27.72
204,223,RapidGo,2025-03-17 00:18:46,2025-03-20 00:00:00,2025-03-25 19:00:00,Entregue,2,15.41
205,224,TransBrasil,2024-07-19 03:23:17,2024-07-25 00:00:00,2024-07-23 13:00:00,Entregue,1,54.67
206,225,LogExpress,2025-02-20 08:14:02,2025-02-23 00:00:00,2025-02-22 09:00:00,Entregue,2,32.29
207,226,RapidGo,2024-01-23 00:28:59,2024-01-31 00:00:00,2024-02-01 18:00:00,Entregue,1,12.7
208,227,TransBrasil,2025-05-26 08:52:47,2025-05-30 00:00:00,2025-05-30 08:00:00,Entregue,2,9.78
209,228,TransBrasil,2024-07-30 14:18:13,2024-08-05 00:00:00,2024-08-05 13:00:00,Entregue,1,33.21
210,229,LogExpress,2024-03-22 19:13:35,2024-03-30 00:00:00,2024-03-30 10:00:00,Entregue,1,45.15
211,230,RapidGo,2024-03-03 22:45:49,2024-03-08 00:00:00,2024-03-08 15:00:00,Entregue,1,19.61
212,231,LogExpress,2024-03-08 22:25:10,2024-03-16 00:00:00,2024-03-16 09:00:00,Entregue,1,43.69
213,232,LogExpress,2025-04-18 14:07:59,2025-04-23 00:00:00,2025-04-27 11:00:00,Entregue,2,35.45
214,233,LogExpress,2024-11-21 10:08:11,2024-11-28 00:00:00,2024-11-28 11:00:00,Entregue,1,20.86
215,234,LogExpress,2025-08-13 13:19:48,2025-08-20 00:00:00,2025-08-20 09:00:00,Entregue,1,25.69
216,235,RapidGo,2025-11-13 13:08:08,2025-11-19 00:00:00,2025-11-17 09:00:00,Entregue,1,42.2
217,237,LogExpress,2024-08-14 05:09:28,2024-08-16 00:00:00,2024-08-18 13:00:00,Entregue,2,49.28
218,238,TransBrasil,2025-08-10 03:04:15,2025-08-12 00:00:00,2025-08-12 13:00:00,Entregue,1,48.04
219,239,RapidGo,2025-04-24 08:21:24,2025-04-27 00:00:00,2025-04-27 09:00:00,Entregue,1,58.3
220,240,LogExpress,2024-03-19 13:16:41,2024-03-24 00:00:00,2024-03-24 14:00:00,Entregue,1,40.35
221,241,TransBrasil,2025-05-13 05:23:44,2025-05-16 00:00:00,2025-05-14 19:00:00,Entregue,1,44.28
222,242,TransBrasil,2024-10-01 06:18:50,2024-10-03 00:00:00,2024-10-06 14:00:00,Entregue,1,25.03
223,243,EntregaMax,2024-07-20 03:15:18,2024-07-23 00:00:00,2024-07-23 11:00:00,Entregue,1,54.45
224,244,LogExpress,2025-04-17 10:00:20,2025-04-22 00:00:00,2025-04-22 13:00:00,Entregue,1,44.68
225,245,RapidGo,2025-01-02 04:32:34,2025-01-09 00:00:00,2025-01-08 13:00:00,Entregue,1,45.07
226,246,RapidGo,2024-11-10 20:35:14,2024-11-18 00:00:00,2024-11-18 15:00:00,Entregue,1,32.72
227,247,LogExpress,2025-02-16 00:52:32,2025-02-19 00:00:00,2025-02-17 10:00:00,Entregue,1,64.79
228,248,EntregaMax,2025-11-29 16:17:26,2025-12-04 00:00:00,2025-12-03 10:00:00,Entregue,1,31.85
229,249,LogExpress,2024-12-31 04:22:37,2025-01-05 00:00:00,2025-01-04 12:00:00,Entregue,1,50.33
230,250,RapidGo,2025-11-17 01:05:05,2025-11-22 00:00:00,2025-11-22 11:00:00,Entregue,1,38.97
231,252,RapidGo,2024-01-29 22:25:17,2024-02-03 00:00:00,2024-02-01 09:00:00,Entregue,1,57.79
