id_cliente,nome_cliente,data_cadastro,cep,cidade,uf,segmento_cliente,status_cliente
266,Cliente 00266,2024-12-11,,,,Novo,Ativo
267,Cliente 00267,2025-09-15,,,,Novo,Ativo
268,Cliente 00268,2025-07-25,,,,Novo,Ativo
269,Cliente 00269,2024-01-02,,,,Recorrente,Ativo
270,Cliente 00270,2024-10-30,,,,Novo,Ativo
271,Cliente 00271,2024-09-10,,,,Novo,Ativo
272,Cliente 00272,2025-10-13,,,,Recorrente,Ativo
273,Cliente 00273,2025-03-28,,,,Novo,Ativo
274,Cliente 00274,2024-02-06,,,,Recorrente,Ativo
275,Cliente 00275,2024-06-08,,,,Novo,Ativo
276,Cliente 00276,2024-01-09,,,,Recorrente,Ativo
277,Cliente 00277,2024-08-20,,,,Recorrente,Ativo
278,Cliente 00278,2024-04-08,,,,Novo,Ativo
279,Cliente 00279,2025-10-20,,,,Novo,Ativo
280,Cliente 00280,2024-07-26,,,,Novo,Inativo
281,Cliente 00281,2024-05-10,,,,Recorrente,Ativo
282,Cliente 00282,2025-02-07,,,,Novo,Ativo
283,Cliente 00283,2024-05-31,,,,Novo,Ativo
284,Cliente 00284,2024-02-23,,,,Novo,Ativo
285,Cliente 00285,2024-04-29,,,,Novo,Ativo
286,Cliente 00286,2025-11-03,,,,Novo,Ativo
287,Cliente 00287,2025-09-19,,,,Recorrente,Ativo
288,Cliente 00288,2025-08-09,,,,Novo,Ativo
289,Cliente 00289,2025-09-16,,,,Novo,Ativo
290,Cliente 00290,2025-02-23,,,,Recorrente,Ativo
291,Cliente 00291,2025-02-25,,,,Recorrente,Ativo
292,Cliente 00292,2024-04-13,,,,Novo,Ativo
293,Cliente 00293,2024-09-10,,,,Novo,Inativo
294,Cliente 00294,2024-08-14,,,,Novo,Ativo
295,Cliente 00295,2024-04-21,,,,VIP,Ativo
296,Cliente 00296,2025-05-24,,,,Novo,Ativo
297,Cliente 00297,2025-04-17,,,,VIP,Inativo
298,Cliente 00298,2024-04-08,,,,Recorrente,Ativo
299,Cliente 00299,2024-06-01,,,,Novo,Ativo
300,Cliente 00300,2024-12-03,,,,Novo,Ativo
301,Cliente 00301,2025-12-06,,,,Novo,Ativo
302,Cliente 00302,2024-06-11,,,,Novo,Ativo
303,Cliente 00303,2025-12-20,,,,Novo,Ativo
304,Cliente 00304,2025-11-11,,,,Recorrente,Ativo
305,Cliente 00305,2024-06-09,,,,VIP,Inativo
306,Cliente 00306,2025-08-02,,,,Recorrente,Ativo
307,Cliente 00307,2025-02-01,,,,Recorrente,Ativo
308,Cliente 00308,2024-10-03,,,,Novo,Ativo
309,Cliente 00309,2025-05-18,,,,Novo,Inativo
310,Cliente 00310,2025-01-26,,,,Novo,Ativo
311,Cliente 00311,2024-05-14,,,,Recorrente,Ativo
312,Cliente 00312,2024-07-13,,,,VIP,Ativo
313,Cliente 00313,2025-02-04,,,,Recorrente,Ativo
314,Cliente 00314,2025-10-01,,,,Novo,Ativo
315,Cliente 00315,2024-02-02,,,,Novo,Ativo
316,Cliente 00316,2025-11-18,,,,Recorrente,Ativo
317,Cliente 00317,2025-04-04,,,,Novo,Ativo
318,Cliente 00318,2025-04-14,,,,Recorrente,Ativo
319,Cliente 00319,2025-01-09,,,,Recorrente,Ativo
320,Cliente 00320,2024-01-22,,,,Recorrente,Ativo
321,Cliente 00321,2025-10-31,,,,Novo,Ativo
322,Cliente 00322,2024-02-07,,,,Novo,Ativo
323,Cliente 00323,2024-08-17,,,,Novo,Ativo
324,Cliente 00324,2024-12-30,,,,Novo,Ativo
325,Cliente 00325,2025-07-16,,,,Novo,Ativo
326,Cliente 00326,2025-03-13,,,,Recorrente,Ativo
327,Cliente 00327,2024-10-09,,,,Recorrente,Ativo
328,Cliente 00328,2024-01-27,,,,Novo,Ativo
329,Cliente 00329,2024-08-13,,,,Novo,Ativo
330,Cliente 00330,2024-10-03,,,,Novo,Ativo
331,Cliente 00331,2025-08-31,,,,Novo,Ativo
332,Cliente 00332,2024-10-10,,,,Recorrente,Ativo
333,Cliente 00333,2025-04-25,,,,Novo,Inativo
334,Cliente 00334,2025-03-28,,,,Novo,Ativo
335,Cliente 00335,2025-10-20,,,,Novo,Ativo
336,Cliente 00336,2025-05-30,,,,Recorrente,Ativo
337,Cliente 00337,2025-06-30,,,,Recorrente,Ativo
338,Cliente 00338,2024-07-10,,,,Novo,Ativo
339,Cliente 00339,2024-02-18,,,,Novo,Ativo
340,Cliente 00340,2025-05-26,,,,Recorrente,Ativo
341,Cliente 00341,2024-01-17,,,,VIP,Ativo
342,Cliente 00342,2024-06-20,,,,Novo,Ativo
343,Cliente 00343,2024-08-07,,,,Recorrente,Ativo
344,Cliente 00344,2024-06-06,,,,VIP,Ativo
345,Cliente 00345,2025-04-21,,,,VIP,Ativo
346,Cliente 00346,2024-02-15,,,,Recorrente,Ativo
347,Cliente 00347,2025-01-07,,,,Recorrente,Ativo
348,Cliente 00348,2025-06-01,,,,Novo,Ativo
349,Cliente 00349,2024-04-08,,,,Recorrente,Ativo
350,Cliente 00350,2024-02-06,,,,Novo,Ativo
351,Cliente 00351,2024-10-06,,,,Recorrente,Inativo
352,Cliente 00352,2024-12-14,,,,Novo,Ativo
353,Cliente 00353,2025-05-11,,,,Recorrente,Ativo
354,Cliente 00354,2024-10-28,,,,Recorrente,Ativo
355,Cliente 00355,2024-06-29,,,,Novo,Ativo
356,Cliente 00356,2025-08-29,,,,Recorrente,Ativo
357,Cliente 00357,2024-04-08,,,,Novo,Ativo
358,Cliente 00358,2025-11-30,,,,Recorrente,Inativo
359,Cliente 00359,2024-04-25,,,,Novo,Ativo
360,Cliente 00360,2024-07-09,,,,Novo,Ativo
361,Cliente 00361,2024-09-09,,,,VIP,Ativo
362,Cliente 00362,2024-06-09,,,,Novo,Ativo
363,Cliente 00363,2024-09-12,,,,Recorrente,Ativo
364,Cliente 00364,2024-11-18,,,,Novo,Ativo
365,Cliente 00365,2024-05-07,,,,Novo,Ativo
366,Cliente 00366,2024-01-18,,,,Novo,Ativo
367,Cliente 00367,2025-07-19,,,,Recorrente,Ativo
368,Cliente 00368,2025-07-23,,,,Novo,Inativo
369,Cliente 00369,2024-11-18,,,,Novo,Ativo
370,Cliente 00370,2025-11-16,,,,Novo,Ativo
371,Cliente 00371,2025-09-17,,,,Novo,Ativo
372,Cliente 00372,2024-10-14,,,,VIP,Ativo
373,Cliente 00373,2025-10-24,,,,VIP,Ativo
374,Cliente 00374,2025-09-30,,,,Novo,Ativo
375,Cliente 00375,2024-06-03,,,,Recorrente,Ativo
376,Cliente 00376,2025-05-04,,,,Novo,Ativo
377,Cliente 00377,2025-01-20,,,,Recorrente,Ativo
378,Cliente 00378,2024-04-13,,,,Recorrente,Ativo
379,Cliente 00379,2025-01-27,,,,VIP,Ativo
380,Cliente 00380,2024-09-02,,,,Novo,Ativo
381,Cliente 00381,2024-06-24,,,,Recorrente,Ativo
382,Cliente 00382,2024-02-08,,,,Novo,Ativo
383,Cliente 00383,2025-04-21,,,,VIP,Ativo
384,Cliente 00384,2025-11-12,,,,Novo,Ativo
385,Cliente 00385,2025-06-21,,,,Recorrente,Ativo
386,Cliente 00386,2025-02-11,,,,Recorrente,Ativo
387,Cliente 00387,2025-06-08,,,,Recorrente,Ativo
388,Cliente 00388,2025-05-20,,,,Novo,Inativo
389,Cliente 00389,2024-02-05,,,,VIP,Ativo
390,Cliente 00390,2025-11-15,,,,Novo,Ativo
391,Cliente 00391,2024-01-20,,,,Recorrente,Ativo
392,Cliente 00392,2024-11-16,,,,Novo,Ativo
393,Cliente 00393,2025-05-26,,,,Novo,Ativo
394,Cliente 00394,2025-02-03,,,,Novo,Ativo
395,Cliente 00395,2025-10-15,,,,Novo,Ativo
396,Cliente 00396,2025-04-15,,,,Novo,Ativo
397,Cliente 00397,2024-05-22,,,,Novo,Ativo
398,Cliente 00398,2024-04-01,,,,Novo,Ativo
399,Cliente 00399,2024-12-19,,,,Recorrente,Ativo
400,Cliente 00400,2025-12-27,,,,Recorrente,Ativo
401,Cliente 00401,2024-02-20,,,,Novo,Ativo
402,Cliente 00402,2025-10-26,,,,Novo,Inativo
403,Cliente 00403,2025-11-28,,,,Novo,Ativo
404,Cliente 00404,2025-07-28,,,,Novo,Ativo
405,Cliente 00405,2024-07-08,,,,Recorrente,Ativo
406,Cliente 00406,2024-05-04,,,,Recorrente,Inativo
407,Cliente 00407,2024-05-29,,,,Novo,Ativo
408,Cliente 00408,2024-11-09,,,,Novo,Ativo
409,Cliente 00409,2025-07-23,,,,Novo,Ativo
410,Cliente 00410,2024-12-07,,,,Recorrente,Ativo
411,Cliente 00411,2024-10-31,,,,VIP,Ativo
412,Cliente 00412,2025-11-22,,,,Novo,Ativo
413,Cliente 00413,2025-11-12,,,,Novo,Ativo
414,Cliente 00414,2024-02-23,,,,Recorrente,Ativo
415,Cliente 00415,2025-03-19,,,,VIP,Ativo
416,Cliente 00416,2025-09-04,,,,Novo,Ativo
417,Cliente 00417,2024-09-20,,,,Novo,Ativo
418,Cliente 00418,2024-02-22,,,,Novo,Ativo
419,Cliente 00419,2025-07-25,,,,Recorrente,Ativo
420,Cliente 00420,2025-09-11,,,,Novo,Ativo
421,Cliente 00421,2024-01-05,,,,Novo,Ativo
422,Cliente 00422,2024-04-12,,,,Recorrente,Ativo
423,Cliente 00423,2024-07-14,,,,Novo,Ativo
424,Cliente 00424,2024-12-15,,,,Recorrente,Ativo
425,Cliente 00425,2024-02-16,,,,Novo,Ativo
426,Cliente 00426,2025-10-17,,,,Novo,Ativo
427,Cliente 00427,2024-09-25,,,,Recorrente,Ativo
428,Cliente 00428,2025-01-04,,,,Novo,Ativo
429,Cliente 00429,2025-09-27,,,,VIP,Ativo
430,Cliente 00430,2024-04-15,,,,Novo,Ativo
431,Cliente 00431,2025-10-31,,,,Novo,Ativo
432,Cliente 00432,2025-10-20,,,,Recorrente,Ativo
433,Cliente 00433,2025-10-18,,,,Novo,Ativo
434,Cliente 00434,2024-04-29,,,,VIP,Ativo
435,Cliente 00435,2025-08-26,,,,Novo,Ativo
436,Cliente 00436,2024-02-27,,,,Novo,Ativo
437,Cliente 00437,2024-12-11,,,,Novo,Ativo
438,Cliente 00438,2025-04-18,,,,Novo,Ativo
439,Cliente 00439,2024-04-26,,,,Recorrente,Ativo
440,Cliente 00440,2024-05-06,,,,Recorrente,Ativo
441,Cliente 00441,2025-01-27,,,,Novo,Ativo
442,Cliente 00442,2025-10-02,,,,Novo,Ativo
443,Cliente 00443,2024-02-27,,,,Recorrente,Ativo
444,Cliente 00444,2025-09-25,,,,VIP,Ativo
445,Cliente 00445,2025-05-27,,,,Novo,Ativo
446,Cliente 00446,2024-04-05,,,,Novo,Inativo
447,Cliente 00447,2025-09-29,,,,Novo,Ativo
448,Cliente 00448,2024-04-27,,,,Recorrente,Ativo
449,Cliente 00449,2025-07-13,,,,Novo,Ativo
450,Cliente 00450,2025-08-23,,,,Novo,Ativo
451,Cliente 00451,2025-05-02,,,,Recorrente,Ativo
452,Cliente 00452,2024-08-24,,,,Novo,Ativo
453,Cliente 00453,2024-09-28,,,,Novo,Ativo
454,Cliente 00454,2024-07-07,,,,Novo,Ativo
455,Cliente 00455,2025-12-04,,,,Novo,Ativo
456,Cliente 00456,2025-03-22,,,,Novo,Inativo
457,Cliente 00457,2025-08-03,,,,Novo,Ativo
458,Cliente 00458,2024-09-03,,,,Novo,Inativo
459,Cliente 00459,2024-03-16,,,,Recorrente,Ativo
460,Cliente 00460,2024-06-02,,,,Recorrente,Ativo
461,Cliente 00461,2025-10-17,,,,Recorrente,Ativo
462,Cliente 00462,2025-03-10,,,,Novo,Ativo
463,Cliente 00463,2024-03-26,,,,Novo,Ativo
464,Cliente 00464,2025-11-27,,,,Novo,Ativo
465,Cliente 00465,2024-10-11,,,,Novo,Ativo
466,Cliente 00466,2024-08-07,,,,Novo,Ativo
467,Cliente 00467,2024-03-09,,,,Recorrente,Ativo
468,Cliente 00468,2024-02-16,,,,Novo,Ativo
469,Cliente 00469,2024-04-03,,,,Novo,Ativo
